Date,Deposit rate
1/1/2015,0.48
1/2/2015,0.53
1/5/2015,0.53
1/6/2015,0.53
1/7/2015,0.53
1/8/2015,0.53
1/9/2015,0.53
1/12/2015,0.53
1/13/2015,0.63
1/14/2015,0.63
1/15/2015,0.53
1/16/2015,0.63
1/19/2015,0.53
1/20/2015,0.53
1/21/2015,0.63
1/22/2015,0.63
1/23/2015,0.63
1/26/2015,0.5
1/27/2015,0.63
1/28/2015,0.63
1/29/2015,0.5
1/30/2015,0.5
2/2/2015,0.63
2/3/2015,0.63
2/4/2015,0.5
2/5/2015,0.5
2/6/2015,0.5
2/9/2015,0.63
2/10/2015,0.55
2/11/2015,0.63
2/12/2015,0.55
2/13/2015,0.55
2/16/2015,0.55
2/17/2015,0.55
2/18/2015,0.52
2/19/2015,0.53
2/20/2015,0.63
2/23/2015,0.5
2/24/2015,0.51
2/25/2015,0.63
2/26/2015,0.52
2/27/2015,0.52
3/2/2015,0.53
3/3/2015,0.53
3/4/2015,0.52
3/5/2015,0.52
3/6/2015,0.45
3/9/2015,0.5
3/10/2015,0.51
3/11/2015,0.5
3/12/2015,0.55
3/13/2015,0.5
3/16/2015,0.5
3/17/2015,0.63
3/18/2015,0.5
3/19/2015,0.5
3/20/2015,0.52
3/23/2015,0.54
3/24/2015,0.54
3/25/2015,0.67
3/26/2015,0.51
3/27/2015,0.6
3/30/2015,0.51
3/31/2015,0.67
4/1/2015,0.51
4/2/2015,0.62
4/3/2015,0.45
4/6/2015,0.45
4/7/2015,0.5
4/8/2015,0.5
4/9/2015,0.5
4/10/2015,0.52
4/13/2015,0.54
4/14/2015,0.53
4/15/2015,0.53
4/16/2015,0.51
4/17/2015,0.62
4/20/2015,0.52
4/21/2015,0.53
4/22/2015,0.59
4/23/2015,0.53
4/24/2015,0.52
4/27/2015,0.52
4/28/2015,0.52
4/29/2015,0.58
4/30/2015,0.53
5/1/2015,0.53
5/4/2015,0.53
5/5/2015,0.6
5/6/2015,0.53
5/7/2015,0.54
5/8/2015,0.54
5/11/2015,0.54
5/12/2015,0.52
5/13/2015,0.55
5/14/2015,0.56
5/15/2015,0.55
5/18/2015,0.56
5/19/2015,0.55
5/20/2015,0.55
5/21/2015,0.55
5/22/2015,0.58
5/25/2015,0.58
5/26/2015,0.57
5/27/2015,0.57
5/28/2015,0.55
5/29/2015,0.55
6/1/2015,0.55
6/2/2015,0.55
6/3/2015,0.55
6/4/2015,0.53
6/5/2015,0.53
6/8/2015,0.55
6/9/2015,0.54
6/10/2015,0.54
6/11/2015,0.54
6/12/2015,0.54
6/15/2015,0.52
6/16/2015,0.45
6/17/2015,0.49
6/18/2015,0.48
6/19/2015,0.5
6/22/2015,0.49
6/23/2015,0.5
6/24/2015,0.49
6/25/2015,0.48
6/26/2015,0.47
6/29/2015,0.5
6/30/2015,0.5
7/1/2015,0.5
7/2/2015,0.5
7/3/2015,0.51
7/6/2015,0.52
7/7/2015,0.51
7/8/2015,0.51
7/9/2015,0.52
7/10/2015,0.52
7/13/2015,0.52
7/14/2015,0.52
7/15/2015,0.53
7/16/2015,0.45
7/17/2015,0.45
7/20/2015,0.52
7/21/2015,0.49
7/22/2015,0.5
7/23/2015,0.49
7/24/2015,0.5
7/27/2015,0.51
7/28/2015,0.49
7/29/2015,0.48
7/30/2015,0.48
7/31/2015,0.48
8/3/2015,0.5
8/4/2015,0.51
8/5/2015,0.51
8/6/2015,0.52
8/7/2015,0.48
8/10/2015,0.49
8/11/2015,0.51
8/12/2015,0.5
8/13/2015,0.54
8/14/2015,0.54
8/17/2015,0.49
8/18/2015,0.49
8/19/2015,0.5
8/20/2015,0.49
8/21/2015,0.49
8/24/2015,0.47
8/25/2015,0.5
8/26/2015,0.49
8/27/2015,0.49
8/28/2015,0.49
8/31/2015,0.45
9/1/2015,0.48
9/2/2015,0.49
9/3/2015,0.49
9/4/2015,0.49
