Quarter,GDP per capita
Q4 2024,--
Q3 2024,9244
Q2 2024,9261
Q1 2024,9254
Q4 2023,9212
Q3 2023,9262
Q2 2023,9300
Q1 2023,9322
Q4 2022,9327
Q3 2022,9323
Q2 2022,9338
Q1 2022,9328
Q4 2021,9282
Q3 2021,9167
Q2 2021,9037
Q1 2021,8434
Q4 2020,8530
Q3 2020,8422
Q2 2020,7218
Q1 2020,9064
Q4 2019,9316
Q3 2019,9319
Q2 2019,9258
Q1 2019,9241
Q4 2018,9186
Q3 2018,9185
Q2 2018,9169
Q1 2018,9165
Q4 2017,9170
Q3 2017,9114
Q2 2017,9068
Q1 2017,9023
Q4 2016,8960
Q3 2016,8918
Q2 2016,8892
Q1 2016,8860
Q4 2015,8846
Q3 2015,8814
Q2 2015,8798
Q1 2015,8760
